Row_Number,Original_Field_Name,Cleaned_Field_Name,Section_Context,Subsection_Context,Basic_Scoped_Name,Enhanced_Scoped_Name,Row_Type,Has_Data,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2006_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2007_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2008_Q4,2009_Q1,2009_Q2,2009_Q3
6,North America,North_America,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.North_America,Revenue_Statement.Geographic_Breakdown.North_America,data_field,Yes,,,,45519,45519,,,,53272,53272,,,,52018,52018,,,
7,Germany,Germany,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Germany,Revenue_Statement.Geographic_Breakdown.Germany,data_field,Yes,,,,24454,24454,,,,33450,33450,,,,44771,44771,,,
8,Other Europe,Other_Europe,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Other_Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,data_field,Yes,,,,24037,24037,,,,39345,39345,,,,49306,49306,,,
9,China,China,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.China,Revenue_Statement.Geographic_Breakdown.China,data_field,Yes,,,,,,,,,,,,,,14781,14781,,,
10,Japan,Japan,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Japan,Revenue_Statement.Geographic_Breakdown.Japan,data_field,Yes,,,,35585,35585,,,,32894,32894,,,,41310,41310,,,
11,Other Asia,Other_Asia,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Other_Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,data_field,Yes,,,,13184,13184,,,,29670,29670,,,,21491,21491,,,
12,Rest of World,Rest_Of_World,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Rest_Of_World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,data_field,Yes,,,,446,446,,,,46,46,,,,5399,5399,,,
13,Total revenue,Total_Revenue,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,143225,143225,,,,188677,188677,,,,229076,229076,,,
16,North America,North_America,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.North_America,Revenue_Statement.Geographic_Breakdown.North_America,data_field,Yes,,,,0.31781462733461335,0.31781462733461335,,,,0.2823449599050229,0.2823449599050229,,,,0.22707747647069096,0.22707747647069096,,,
17,Germany,Germany,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Germany,Revenue_Statement.Geographic_Breakdown.Germany,data_field,Yes,,,,0.1707383487519637,0.1707383487519637,,,,0.17728710971660563,0.17728710971660563,,,,0.19544168747489915,0.19544168747489915,,,
18,Other Europe,Other_Europe,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Other_Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,data_field,Yes,,,,0.1678268458718799,0.1678268458718799,,,,0.20853098151868008,0.20853098151868008,,,,0.21523861076673242,0.21523861076673242,,,
19,China,China,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.China,Revenue_Statement.Geographic_Breakdown.China,data_field,Yes,,,,,,,,,,,,,,0.06452443730464999,0.06452443730464999,,,
20,Japan,Japan,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Japan,Revenue_Statement.Geographic_Breakdown.Japan,data_field,Yes,,,,0.24845522778844475,0.24845522778844475,,,,0.17434027464926832,0.17434027464926832,,,,0.18033316453927953,0.18033316453927953,,,
21,Other Asia,Other_Asia,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Other_Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,data_field,Yes,,,,0.09205096875545471,0.09205096875545471,,,,0.15725287130916857,0.15725287130916857,,,,0.09381602612233494,0.09381602612233494,,,
22,Rest of World,Rest_Of_World,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Rest_Of_World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,data_field,Yes,,,,0.003113981497643568,0.003113981497643568,,,,0.00024380290125452492,0.00024380290125452492,,,,0.02356859732141298,0.02356859732141298,,,
23,Total revenue,Total_Revenue,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,1,1,,,,1,1,,,,1,1,,,
26,Materials processing,Materials_Processing,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Materials_Processing,Key_Metrics.Revenue_By_Application.Materials_Processing,data_field,Yes,,,,97600,97600,,,,140044,140044,,,,187720,187720,,,
27,Other applications,Other_Applications,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Other_Applications,Key_Metrics.Revenue_By_Application.Other_Applications,data_field,Yes,,,,45625,45625,,,,48633,48633,,,,41356,41356,,,
28,Advanced applications,Advanced_Applications,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Advanced_Applications,Key_Metrics.Revenue_By_Application.Advanced_Applications,data_field,Yes,,,,19224,19224,,,,25047,25047,,,,24670,24670,,,
29,Communications,Communications,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Communications,Revenue_Statement.Application_Breakdown.Communications,data_field,Yes,,,,15222,15222,,,,13062,13062,,,,12904,12904,,,
30,Medical,Medical,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Medical,Revenue_Statement.Application_Breakdown.Medical,data_field,Yes,,,,11179,11179,,,,10524,10524,,,,3782,3782,,,
31,Total revenue,Total_Revenue,Revenue_By_Application,,Key_Metrics.Revenue_By_Application.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,143225,143225,,,,188677,188677,,,,229076,229076,,,
34,Materials processing,Materials_Processing,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Materials_Processing,Key_Metrics.Revenue_By_Application_Of_Total.Materials_Processing,data_field,Yes,,,,0.6814452784080991,0.6814452784080991,,,,0.7422420326801888,0.7422420326801888,,,,0.819466028741553,0.819466028741553,,,
35,Cutting,Cutting,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Cutting,Key_Metrics.Revenue_By_Application_Of_Total.Cutting,data_field,No,,,,,,,,,,,,,,,,,,
36,Welding and brazing,Welding_And_Brazing,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Welding_And_Brazing,Key_Metrics.Revenue_By_Application_Of_Total.Welding_And_Brazing,data_field,No,,,,,,,,,,,,,,,,,,
37,Marking and engraving,Marking_And_Engraving,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Marking_And_Engraving,Key_Metrics.Revenue_By_Application_Of_Total.Marking_And_Engraving,data_field,No,,,,,,,,,,,,,,,,,,
38,Other materials processing,Other_Materials_Processing,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Other_Materials_Processing,Key_Metrics.Revenue_By_Application_Of_Total.Other_Materials_Processing,data_field,No,,,,,,,,,,,,,,,,,,
39,Other applications,Other_Applications,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Other_Applications,Key_Metrics.Revenue_By_Application_Of_Total.Other_Applications,data_field,Yes,,,,0.31855472159190085,0.31855472159190085,,,,0.2577579673198111,0.2577579673198111,,,,0.18053397125844697,0.18053397125844697,,,
40,Advanced applications,Advanced_Applications,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Advanced_Applications,Key_Metrics.Revenue_By_Application_Of_Total.Advanced_Applications,data_field,Yes,,,,0.134222377378251,0.134222377378251,,,,0.13275067973308882,0.13275067973308882,,,,0.10769351656218897,0.10769351656218897,,,
41,Communications,Communications,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Communications,Revenue_Statement.Application_Breakdown.Communications,data_field,Yes,,,,0.10628032815500087,0.10628032815500087,,,,0.06922942383014358,0.06922942383014358,,,,0.056330650089926486,0.056330650089926486,,,
42,Medical,Medical,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Medical,Revenue_Statement.Application_Breakdown.Medical,data_field,Yes,,,,0.07805201605864898,0.07805201605864898,,,,0.055777863756578706,0.055777863756578706,,,,0.016509804606331523,0.016509804606331523,,,
43,Total revenue,Total_Revenue,Revenue_By_Application_Of_Total,,Key_Metrics.Revenue_By_Application_Of_Total.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,1,1,,,,1,1,,,,1,1,,,
46,High-power CW lasers (1 Kilowatt or Greater),High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Key_Metrics.Revenue_By_Product.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,data_field,No,,,,,,,,,,,,,,,,,,
47,Medium-power CW lasers (Less Than 1 Kilowatt),Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Key_Metrics.Revenue_By_Product.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,data_field,No,,,,,,,,,,,,,,,,,,
48,Pulsed lasers,Pulsed_Lasers,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Pulsed_Lasers,Revenue_Statement.Product_Type_Breakdown.Pulsed_Lasers,data_field,No,,,,,,,,,,,,,,,,,,
49,QCW lasers,Qcw_Lasers,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Qcw_Lasers,Revenue_Statement.Product_Type_Breakdown.QCW_Lasers,data_field,No,,,,,,,,,,,,,,,,,,
50,Laser and Non-Laser Systems,Laser_And_Non_Laser_Systems,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Laser_And_Non_Laser_Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,data_field,No,,,,,,,,,,,,,,,,,,
51,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Key_Metrics.Revenue_By_Product.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,data_field,No,,,,,,,,,,,,,,,,,,
52,Total revenue,Total_Revenue,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,No,,,,,,,,,,,,,,,,,,
55,High-power CW lasers (1 Kilowatt or Greater),High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Key_Metrics.Revenue_By_Product.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,data_field,No,,,,,,,,,,,,,,,,,,
56,Medium-power CW lasers (Less Than 1 Kilowatt),Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Key_Metrics.Revenue_By_Product.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,data_field,No,,,,,,,,,,,,,,,,,,
57,Pulsed lasers,Pulsed_Lasers,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Pulsed_Lasers,Revenue_Statement.Product_Type_Breakdown.Pulsed_Lasers,data_field,No,,,,,,,,,,,,,,,,,,
58,QCW lasers,Qcw_Lasers,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Qcw_Lasers,Revenue_Statement.Product_Type_Breakdown.QCW_Lasers,data_field,No,,,,,,,,,,,,,,,,,,
59,Laser and Non-Laser Systems,Laser_And_Non_Laser_Systems,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Laser_And_Non_Laser_Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,data_field,No,,,,,,,,,,,,,,,,,,
60,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Key_Metrics.Revenue_By_Product.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,data_field,No,,,,,,,,,,,,,,,,,,
61,Total revenue,Total_Revenue,Revenue_By_Product,,Key_Metrics.Revenue_By_Product.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,No,,,,,,,,,,,,,,,,,,
64,Orders with firm shipment dates,Orders_With_Firm_Shipment_Dates,Total_Backlog_Of_Orders,,Key_Metrics.Total_Backlog_Of_Orders.Orders_With_Firm_Shipment_Dates,Key_Metrics.Total_Backlog_Of_Orders.Orders_With_Firm_Shipment_Dates,data_field,Yes,,,,,,,,,,,,,,47000,47000,,,
65,Frame agreements,Frame_Agreements,Total_Backlog_Of_Orders,,Key_Metrics.Total_Backlog_Of_Orders.Frame_Agreements,Key_Metrics.Total_Backlog_Of_Orders.Frame_Agreements,data_field,Yes,,,,,,,,,,,,,,22300,22300,,,
70,Foreign exchange impact on results (1),Foreign_Exchange_Impact_On_Results_1,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Foreign_Exchange_Impact_On_Results_1,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Foreign_Exchange_Impact_On_Results_1,data_field,No,,,,,,,,,,,,,,,,,,
71,Revenue,Revenue,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Revenue,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Revenue,data_field,Yes,,,,,,,,,7200,7200,3200,3000,2100,6800,6800,-2100,-2000,-200
72,Gross profit,Gross_Profit,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Profit,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Profit,data_field,Yes,,,,,,,,,,,,,,,,-500,-1400,-600
73,Operating expenses,Operating_Expenses,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Expenses,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Expenses,data_field,Yes,,,,,,,,,,,,,,,,-1000,-300,-200
75,Constant currency results (1),Constant_Currency_Results_1,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Constant_Currency_Results_1,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Constant_Currency_Results_1,data_field,No,,,,,,,,,,,,,,,,,,
76,Revenue,Revenue,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Revenue,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Revenue,data_field,Yes,,,,,,,,,181477,181477,49676,52994,59912,222276,222276,47508,42385,46008
77,Revenue growth (year over year),Revenue_Growth_Year_Over_Year,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Revenue_Growth_Year_Over_Year,Financial_Ratios.Growth_Metrics.Revenue_Growth_Year_Over_Year,data_field,Yes,,,,,,,,,0.2670762785826497,0.2670762785826497,0.18975881972552866,0.20572442664725155,0.25064189541801474,0.17807681911414752,0.17807681911414752,-0.10152053861865495,-0.24304389756045286,-0.258079081468103
78,Gross profit,Gross_Profit,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Profit,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Profit,data_field,Yes,,,,,,,,,,,,,,,,16361,13172,17323
79,Gross margin,Gross_Margin,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Margin,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Gross_Margin,data_field,Yes,,,,,,,,,,,,,,,,0.34438410372989814,0.31077031968856905,0.37652147452616935
80,Operating profit,Operating_Profit,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Profit,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Profit,data_field,Yes,,,,,,,,,,,,,,,,1525,-186,4048
81,Operating margin,Operating_Margin,Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative,,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Margin,Key_Metrics.Revenue_From_Five_Largest_Customers_Quarter_Data_Is_Cumulative.Operating_Margin,data_field,Yes,,,,,,,,,,,,,,,,0.03209985686621201,-0.004388344933349062,0.08798469831333681
84,United States,United_States,Long_Lived_Assets_By_Region,,Key_Metrics.Long_Lived_Assets_By_Region.United_States,Balance_Sheet.Geographic_Assets.United_States,data_field,Yes,,,,32798,32798,,,,44560,44560,,,,61943,61943,,,
85,Germany,Germany,Long_Lived_Assets_By_Region,,Key_Metrics.Long_Lived_Assets_By_Region.Germany,Balance_Sheet.Geographic_Assets.Germany,data_field,Yes,,,,30108,30108,,,,41112,41112,,,,48424,48424,,,
86,Other,Other,Long_Lived_Assets_By_Region,,Key_Metrics.Long_Lived_Assets_By_Region.Other,Key_Metrics.Long_Lived_Assets_By_Region.Other,data_field,Yes,,,,4247,4247,,,,10698,10698,,,,16083,16083,,,
90,United States,United_States,Long_Lived_Assets_By_Region_Of_Total,,Key_Metrics.Long_Lived_Assets_By_Region_Of_Total.United_States,Balance_Sheet.Geographic_Assets.United_States,data_field,Yes,,,,0.4884070704212768,0.4884070704212768,,,,0.462384559510221,0.462384559510221,,,,0.48986160537761964,0.48986160537761964,,,
91,Germany,Germany,Long_Lived_Assets_By_Region_Of_Total,,Key_Metrics.Long_Lived_Assets_By_Region_Of_Total.Germany,Balance_Sheet.Geographic_Assets.Germany,data_field,Yes,,,,0.4483492919154766,0.4483492919154766,,,,0.4266057901836671,0.4266057901836671,,,,0.38294978252273626,0.38294978252273626,,,
92,Other,Other,Long_Lived_Assets_By_Region_Of_Total,,Key_Metrics.Long_Lived_Assets_By_Region_Of_Total.Other,Key_Metrics.Long_Lived_Assets_By_Region_Of_Total.Other,data_field,Yes,,,,0.06324363766324662,0.06324363766324662,,,,0.11100965030611186,0.11100965030611186,,,,0.12718861209964413,0.12718861209964413,,,
96,Research and development,Research_And_Development,Employees_By_Function,,Key_Metrics.Employees_By_Function.Research_And_Development,Key_Metrics.Employees_By_Function.Research_And_Development,data_field,Yes,,,,46,46,,,,69,69,,,,135,135,,,
97,Manufacturing operations,Manufacturing_Operations,Employees_By_Function,,Key_Metrics.Employees_By_Function.Manufacturing_Operations,Financial_Ratios.Growth_Metrics.Manufacturing_Operations,data_field,Yes,,,,886,886,,,,1062,1062,,,,1101,1101,,,
98,"Sales, service and marketing",Sales_Service_And_Marketing,Employees_By_Function,,Key_Metrics.Employees_By_Function.Sales_Service_And_Marketing,Key_Metrics.Employees_By_Function.Sales_Service_And_Marketing,data_field,Yes,,,,35,35,,,,47,47,,,,62,62,,,
99,General and administrative,General_And_Administrative,Employees_By_Function,,Key_Metrics.Employees_By_Function.General_And_Administrative,Key_Metrics.Employees_By_Function.General_And_Administrative,data_field,Yes,,,,80,80,,,,129,129,,,,136,136,,,
100,Total employees,Total_Employees,Employees_By_Function,,Key_Metrics.Employees_By_Function.Total_Employees,Operations.Employee_Totals.Total_Employees,data_field,Yes,,,,1047,1047,,,,1307,1307,,,,1434,1434,,,
103,United States,United_States,Employees_By_Region,,Key_Metrics.Employees_By_Region.United_States,Operations.Employee_Distribution.United_States,data_field,Yes,,,,303,303,,,,377,377,,,,400,400,,,
104,Germany,Germany,Employees_By_Region,,Key_Metrics.Employees_By_Region.Germany,Operations.Employee_Distribution.Germany,data_field,Yes,,,,384,384,,,,466,466,,,,507,507,,,
105,Other,Other,Employees_By_Region,,Key_Metrics.Employees_By_Region.Other,Key_Metrics.Employees_By_Region.Other,data_field,Yes,,,,360,360,,,,464,464,,,,527,527,,,
106,Total employees,Total_Employees,Employees_By_Region,,Key_Metrics.Employees_By_Region.Total_Employees,Operations.Employee_Totals.Total_Employees,data_field,Yes,,,,1047,1047,,,,1307,1307,,,,1434,1434,,,
109,Devices shipped,Devices_Shipped,Total_Devices_And_Customers,,Key_Metrics.Total_Devices_And_Customers.Devices_Shipped,Key_Metrics.Total_Devices_And_Customers.Devices_Shipped,data_field,No,,,,,,,,,,,,,,,,,,
113,(1) Assumes exchange rates in current period were the same as the year-ago period,1_Assumes_Exchange_Rates_In_Current_Period_Were_The_Same_As_The_Year_Ago_Period,Total_Devices_And_Customers,,Key_Metrics.Total_Devices_And_Customers.1_Assumes_Exchange_Rates_In_Current_Period_Were_The_Same_As_The_Year_Ago_Period,Key_Metrics.Total_Devices_And_Customers.1_Assumes_Exchange_Rates_In_Current_Period_Were_The_Same_As_The_Year_Ago_Period,data_field,No,,,,,,,,,,,,,,,,,,
