Dest_Row,Dest_Field_Name,Dest_Enhanced_Scope,Source_Row,Source_Field_Name,Source_Enhanced_Scope,Q1_Verification_Value,Source_Q2_Value,Previous_Dest_Value,Population_Status,Match_Method
12,United States and other North America,Financial_Statements.Geographic_Data.North_America,6,North America,Revenue_Statement.Geographic_Breakdown.North_America,63964,76905,,POPULATED,Q1_Value_Verification
13,Germany,Financial_Statements.Geographic_Data.Germany,7,Germany,Revenue_Statement.Geographic_Breakdown.Germany,20019,20809,,POPULATED,Q1_Value_Verification
14,Other including Eastern Europe/CIS,Reported.Segment_Information_In_000_Usd_Ytd.Other_Including_Eastern_Europecis,8,Other Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,59497,53722,,POPULATED,Q1_Value_Verification
15,China,Financial_Statements.Geographic_Data.China,9,China,Revenue_Statement.Geographic_Breakdown.China,62730,64875,,POPULATED,Q1_Value_Verification
16,Japan,Financial_Statements.Geographic_Data.Japan,10,Japan,Revenue_Statement.Geographic_Breakdown.Japan,16698,10215,,POPULATED,Q1_Value_Verification
17,Other Asian countries,Financial_Statements.Geographic_Data.Other_Asia,11,Other Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,24978,27643,,POPULATED,Q1_Value_Verification
18,Rest of World,Financial_Statements.Geographic_Data.Rest_Of_World,12,Rest of World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,4123,3476,,POPULATED,Q1_Value_Verification
19,Total,Income_Statement.Totals.Total,13,Total revenue,Revenue_Statement.Totals.Total_Revenue,252009,257645,,POPULATED,Q1_Value_Verification
22,Materials Processing,Reported.Segment_Information_In_000_Usd_Ytd.End_Market_Breakdown.Materials_Processing,26,Materials processing,Revenue_Statement.Application_Breakdown.Materials_Processing,226365,225773,,POPULATED,Q1_Value_Verification
27,Total,Income_Statement.Totals.Total,31,Total revenue,Revenue_Statement.Totals.Total_Revenue,252009,257645,,POPULATED,Q1_Value_Verification
30,High-power CW lasers (1 Kilowatt or Greater),Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,46,High-power CW lasers (1 Kilowatt or Greater),Revenue_Statement.Product_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,90793,82225,,POPULATED,Q1_Value_Verification
31,Medium-power CW lasers (Less Than 1 Kilowatt),Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,47,Medium-power CW lasers (Less Than 1 Kilowatt),Revenue_Statement.Product_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,16214,15758,,POPULATED,Q1_Value_Verification
32,Pulsed lasers,Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Pulsed_Lasers,48,Pulsed lasers,Revenue_Statement.Product_Breakdown.Pulsed_Lasers,34819,42536,,POPULATED,Q1_Value_Verification
33,QCW lasers,Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Qcw_Lasers,49,QCW lasers,Revenue_Statement.Product_Breakdown.Qcw_Lasers,15791,10549,,POPULATED,Q1_Value_Verification
34,Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,50,Laser and Non-Laser Systems,Revenue_Statement.Product_Breakdown.Laser_And_Non_Laser_Systems,37503,38668,,POPULATED,Q1_Value_Verification
35,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Income_Statement.Revenue.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,51,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Operations.Employee_Metrics.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,56889,67909,,POPULATED,Q1_Value_Verification
36,Total,Income_Statement.Totals.Total,52,Total revenue,Revenue_Statement.Totals.Total_Revenue,252009,257645,,POPULATED,Q1_Value_Verification
48,United States and other North America,Financial_Statements.Geographic_Data.North_America,16,North America,Revenue_Statement.Geographic_Breakdown_Percent.North_America,0.25381633195639836,0.2984921112383318,,POPULATED,Q1_Value_Verification
49,Germany,Financial_Statements.Geographic_Data.Germany,17,Germany,Revenue_Statement.Geographic_Breakdown_Percent.Germany,0.07943763913193576,0.0807661705059287,,POPULATED,Q1_Value_Verification
50,Other including Eastern Europe/CIS,Reported.Segment_Information.Other_Including_Eastern_Europecis,18,Other Europe,Revenue_Statement.Geographic_Breakdown_Percent.Other_Europe,0.23609077453583008,0.2085117118515787,,POPULATED,Q1_Value_Verification
51,China,Financial_Statements.Geographic_Data.China,19,China,Revenue_Statement.Geographic_Breakdown_Percent.China,0.24891968143994858,0.2517999573055949,,POPULATED,Q1_Value_Verification
52,Japan,Financial_Statements.Geographic_Data.Japan,20,Japan,Revenue_Statement.Geographic_Breakdown_Percent.Japan,0.06625953834982085,0.039647577092511016,,POPULATED,Q1_Value_Verification
53,Other Asian countries,Financial_Statements.Geographic_Data.Other_Asia,21,Other Asia,Revenue_Statement.Geographic_Breakdown_Percent.Other_Asia,0.09911550777948407,0.10729103999689495,,POPULATED,Q1_Value_Verification
54,Rest of World,Financial_Statements.Geographic_Data.Rest_Of_World,22,Rest of World,Revenue_Statement.Geographic_Breakdown_Percent.Rest_Of_World,0.016360526806582305,0.013491432009159891,,POPULATED,Q1_Value_Verification
55,Total,Income_Statement.Totals.Total,23,Total revenue,Revenue_Statement.Totals_Percent.Total_Revenue,1,1,,POPULATED,Q1_Value_Verification
58,Materials Processing,Reported.Segment_Information.Materials_Processing,34,Materials processing,Revenue_Statement.Application_Breakdown_Percent.Materials_Processing,0.8982417294620431,0.876294901899901,,POPULATED,Q1_Value_Verification
63,Total,Income_Statement.Totals.Total,43,Total revenue,Revenue_Statement.Totals_Percent.Total_Revenue,1,1,,POPULATED,Q1_Value_Verification
66,High-power CW lasers (1 Kilowatt or Greater),Reported.Segment_Information.Other_Application_Of_Which.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,55,High-power CW lasers (1 Kilowatt or Greater),Revenue_Statement.Product_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,0.3602768155105572,0.3191406780647791,,POPULATED,Q1_Value_Verification
67,Medium-power CW lasers (Less Than 1 Kilowatt),Reported.Segment_Information.Other_Application_Of_Which.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,56,Medium-power CW lasers (Less Than 1 Kilowatt),Revenue_Statement.Product_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,0.06433897202084053,0.06116167594946535,,POPULATED,Q1_Value_Verification
68,Pulsed lasers,Reported.Segment_Information.Other_Application_Of_Which.Pulsed_Lasers,57,Pulsed lasers,Revenue_Statement.Product_Breakdown.Pulsed_Lasers,0.1381657004313338,0.1650953831822857,,POPULATED,Q1_Value_Verification
69,QCW lasers,Reported.Segment_Information.Other_Application_Of_Which.Qcw_Lasers,58,QCW lasers,Revenue_Statement.Product_Breakdown.Qcw_Lasers,0.06266046053910773,0.04094393448349473,,POPULATED,Q1_Value_Verification
70,Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,59,Laser and Non-Laser Systems,Revenue_Statement.Product_Breakdown.Laser_And_Non_Laser_Systems,0.14881611371022463,0.15008247782801917,,POPULATED,Q1_Value_Verification
71,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Income_Statement.Revenue.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,60,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Operations.Employee_Metrics.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,0.22574193778793614,0.263575850491956,,POPULATED,Q1_Value_Verification
72,Total,Income_Statement.Totals.Total,61,Total revenue,Revenue_Statement.Totals.Total_Revenue,1,1,,POPULATED,Q1_Value_Verification
