Dest_Row_Number,Dest_Field_Name,Dest_Enhanced_Scope,Dest_Section_Context,Dest_Major_Section_Context,Source_Row_Number,Source_Field_Name,Source_Enhanced_Scope,Source_Section_Context,Q1_Verification_Value,Source_Q2_Value,Match_Method,Match_Confidence
12,United States and other North America,Financial_Statements.Geographic_Data.North_America,,Segment_Information_In_000_Usd_Ytd,6,North America,Revenue_Statement.Geographic_Breakdown.North_America,Revenue by region,63964,76905.0,Q1_Value_Verification,1.0
13,Germany,Financial_Statements.Geographic_Data.Germany,,Segment_Information_In_000_Usd_Ytd,7,Germany,Revenue_Statement.Geographic_Breakdown.Germany,Revenue by region,20019,20809.0,Q1_Value_Verification,1.0
14,Other including Eastern Europe/CIS,Reported.Segment_Information_In_000_Usd_Ytd.Other_Including_Eastern_Europecis,,Segment_Information_In_000_Usd_Ytd,8,Other Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,Revenue by region,59497,53722.0,Q1_Value_Verification,1.0
15,China,Financial_Statements.Geographic_Data.China,,Segment_Information_In_000_Usd_Ytd,9,China,Revenue_Statement.Geographic_Breakdown.China,Revenue by region,62730,64875.0,Q1_Value_Verification,1.0
16,Japan,Financial_Statements.Geographic_Data.Japan,,Segment_Information_In_000_Usd_Ytd,10,Japan,Revenue_Statement.Geographic_Breakdown.Japan,Revenue by region,16698,10215.0,Q1_Value_Verification,1.0
17,Other Asian countries,Financial_Statements.Geographic_Data.Other_Asia,,Segment_Information_In_000_Usd_Ytd,11,Other Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,Revenue by region,24978,27643.0,Q1_Value_Verification,1.0
18,Rest of World,Financial_Statements.Geographic_Data.Rest_Of_World,,Segment_Information_In_000_Usd_Ytd,12,Rest of World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,Revenue by region,4123,3476.0,Q1_Value_Verification,1.0
19,Total,Income_Statement.Totals.Total,,Segment_Information_In_000_Usd_Ytd,13,Total revenue,Revenue_Statement.Totals.Total_Revenue,Revenue by region,252009,257645.0,Q1_Value_Verification,1.0
22,Materials Processing,Reported.Segment_Information_In_000_Usd_Ytd.End_Market_Breakdown.Materials_Processing,End_Market_Breakdown,Segment_Information_In_000_Usd_Ytd,26,Materials processing,Revenue_Statement.Application_Breakdown.Materials_Processing,Revenue by application,226365,225773.0,Q1_Value_Verification,1.0
27,Total,Income_Statement.Totals.Total,End_Market_Breakdown,Segment_Information_In_000_Usd_Ytd,31,Total revenue,Revenue_Statement.Totals.Total_Revenue,Revenue by application,252009,257645.0,Q1_Value_Verification,1.0
30,High-power CW lasers (1 Kilowatt or Greater),Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,46,High-power CW lasers (1 Kilowatt or Greater),Revenue_Statement.Product_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Revenue by product,90793,82225.0,Q1_Value_Verification,1.0
31,Medium-power CW lasers (Less Than 1 Kilowatt),Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,47,Medium-power CW lasers (Less Than 1 Kilowatt),Revenue_Statement.Product_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Revenue by product,16214,15758.0,Q1_Value_Verification,1.0
32,Pulsed lasers,Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Pulsed_Lasers,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,48,Pulsed lasers,Revenue_Statement.Product_Breakdown.Pulsed_Lasers,Revenue by product,34819,42536.0,Q1_Value_Verification,1.0
33,QCW lasers,Reported.Segment_Information_In_000_Usd_Ytd.Segment_Breakdown.Qcw_Lasers,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,49,QCW lasers,Revenue_Statement.Product_Breakdown.Qcw_Lasers,Revenue by product,15791,10549.0,Q1_Value_Verification,1.0
34,Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,50,Laser and Non-Laser Systems,Revenue_Statement.Product_Breakdown.Laser_And_Non_Laser_Systems,Revenue by product,37503,38668.0,Q1_Value_Verification,1.0
35,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Income_Statement.Revenue.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,51,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Operations.Employee_Metrics.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Revenue by product,56889,67909.0,Q1_Value_Verification,1.0
36,Total,Income_Statement.Totals.Total,Segment_Breakdown,Segment_Information_In_000_Usd_Ytd,52,Total revenue,Revenue_Statement.Totals.Total_Revenue,Revenue by product,252009,257645.0,Q1_Value_Verification,1.0
48,United States and other North America,Financial_Statements.Geographic_Data.North_America,,Segment_Information,16,North America,Revenue_Statement.Geographic_Breakdown_Percent.North_America,Revenue by region (% of total),0.25381633195639836,0.2984921112383318,Q1_Value_Verification,1.0
49,Germany,Financial_Statements.Geographic_Data.Germany,,Segment_Information,17,Germany,Revenue_Statement.Geographic_Breakdown_Percent.Germany,Revenue by region (% of total),0.07943763913193576,0.0807661705059287,Q1_Value_Verification,1.0
50,Other including Eastern Europe/CIS,Reported.Segment_Information.Other_Including_Eastern_Europecis,,Segment_Information,18,Other Europe,Revenue_Statement.Geographic_Breakdown_Percent.Other_Europe,Revenue by region (% of total),0.23609077453583008,0.2085117118515787,Q1_Value_Verification,1.0
51,China,Financial_Statements.Geographic_Data.China,,Segment_Information,19,China,Revenue_Statement.Geographic_Breakdown_Percent.China,Revenue by region (% of total),0.24891968143994858,0.2517999573055949,Q1_Value_Verification,1.0
52,Japan,Financial_Statements.Geographic_Data.Japan,,Segment_Information,20,Japan,Revenue_Statement.Geographic_Breakdown_Percent.Japan,Revenue by region (% of total),0.06625953834982085,0.039647577092511,Q1_Value_Verification,1.0
53,Other Asian countries,Financial_Statements.Geographic_Data.Other_Asia,,Segment_Information,21,Other Asia,Revenue_Statement.Geographic_Breakdown_Percent.Other_Asia,Revenue by region (% of total),0.09911550777948407,0.1072910399968949,Q1_Value_Verification,1.0
54,Rest of World,Financial_Statements.Geographic_Data.Rest_Of_World,,Segment_Information,22,Rest of World,Revenue_Statement.Geographic_Breakdown_Percent.Rest_Of_World,Revenue by region (% of total),0.016360526806582305,0.0134914320091598,Q1_Value_Verification,1.0
55,Total,Income_Statement.Totals.Total,,Segment_Information,23,Total revenue,Revenue_Statement.Totals_Percent.Total_Revenue,Revenue by region (% of total),1,1.0,Q1_Value_Verification,1.0
58,Materials Processing,Reported.Segment_Information.Materials_Processing,,Segment_Information,34,Materials processing,Revenue_Statement.Application_Breakdown_Percent.Materials_Processing,Revenue by application (% of total),0.8982417294620431,0.876294901899901,Q1_Value_Verification,1.0
63,Total,Income_Statement.Totals.Total,,Segment_Information,43,Total revenue,Revenue_Statement.Totals_Percent.Total_Revenue,Revenue by application (% of total),1,1.0,Q1_Value_Verification,1.0
66,High-power CW lasers (1 Kilowatt or Greater),Reported.Segment_Information.Other_Application_Of_Which.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,,Segment_Information,55,High-power CW lasers (1 Kilowatt or Greater),Revenue_Statement.Product_Breakdown.High_Power_Cw_Lasers_1_Kilowatt_Or_Greater,Revenue by product,0.3602768155105572,0.3191406780647791,Q1_Value_Verification,1.0
67,Medium-power CW lasers (Less Than 1 Kilowatt),Reported.Segment_Information.Other_Application_Of_Which.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,,Segment_Information,56,Medium-power CW lasers (Less Than 1 Kilowatt),Revenue_Statement.Product_Breakdown.Medium_Power_Cw_Lasers_Less_Than_1_Kilowatt,Revenue by product,0.06433897202084053,0.0611616759494653,Q1_Value_Verification,1.0
68,Pulsed lasers,Reported.Segment_Information.Other_Application_Of_Which.Pulsed_Lasers,,Segment_Information,57,Pulsed lasers,Revenue_Statement.Product_Breakdown.Pulsed_Lasers,Revenue by product,0.1381657004313338,0.1650953831822857,Q1_Value_Verification,1.0
69,QCW lasers,Reported.Segment_Information.Other_Application_Of_Which.Qcw_Lasers,,Segment_Information,58,QCW lasers,Revenue_Statement.Product_Breakdown.Qcw_Lasers,Revenue by product,0.06266046053910773,0.0409439344834947,Q1_Value_Verification,1.0
70,Systems,Revenue_Statement.Product_Type_Breakdown.Systems_And_Other,,Segment_Information,59,Laser and Non-Laser Systems,Revenue_Statement.Product_Breakdown.Laser_And_Non_Laser_Systems,Revenue by product,0.14881611371022463,0.1500824778280191,Q1_Value_Verification,1.0
71,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Income_Statement.Revenue.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,,Segment_Information,60,"Other revenue (amplifiers, service, parts, accessories and change in deferred)",Operations.Employee_Metrics.Other_Revenue_Amplifiers_Service_Parts_Accessories_And_Change_In_Deferred,Revenue by product,0.22574193778793614,0.263575850491956,Q1_Value_Verification,1.0
72,Total,Income_Statement.Totals.Total,,Segment_Information,61,Total revenue,Revenue_Statement.Totals.Total_Revenue,Revenue by product,1,1.0,Q1_Value_Verification,1.0
